edom,rdom,codesetd,udom,attr_Id
"","","","Sequential unique whole numbers that are automatically generated.",0
"","","","Sequential unique whole numbers that are automatically generated.",1
"","","","Coordinates defining the features.",2
"","","","Name of Resource Area",3
"","","","Closest State Name Acronym",4
"","","","",8
"","","","Positive real numbers that are automatically generated.",9
