STATNUMB,LONG_DEG,LONG_MIN,LONG_SEC,LAT_DEG,LAT_MIN,LAT_SEC,WATER BODY,CITY,STATE(S),FWS REGION
57,-81,46,57.5,31,37,21.51,Altamaha River,Doctortown,GA,4
58,-82,57,13.86,29,35,43.31,Suwanee River,Old Town,FL,4
59,-87,47,0.69,31,18,45.15,Alabama River,Chrysler,AL,4
60,-95,47,20.82,29,36,19.3,Brazos River,Richmond,TX,2
61,-96,12,2.24,29,19,56.81,Colorado River,Wharton,TX,2
62,-97,52,20.69,28,2,26.16,Nueces River,Mathis,TX,2
63,-107,11,18.65,33,9,19,Rio Grande,Elephant Butte,NM,2
64,-105,47,16.67,37,25,25.58,Rio Grande,Alamosa,CO,6
65,-103,53,51.3,31,54,17.1,Pecos River,Red Bluff Lake,TX,2
66,-74,46,15.15,44,59,41.95,St. Lawrence River,Massena,NY,5
67,-79,41,23.82,40,39,52.79,Allegheny River,Natrona,PA,5
68,-87,57,58.99,38,4,49.6,Wabash River,New Harmony,IN/IL,3
69,-84,30,10.11,39,5,41.56,Ohio River,Cincinnati,OH/KY,3
70,-88,39,24.15,37,7,40.57,Ohio River,Metropolis,IL/KY,3
71,-88,12,45.25,35,18,2.13,Tennessee River,Savannah,TN,4
72,-90,48,58.1,43,5,40.29,Wisconsin River,Woodman,WI,3
73,-91,59,38.8,40,44,54.27,Des Moines River,Keosauqua,IA,3
74,-94,23,9.83,45,56,20.19,Mississippi River,Little Falls,MN,3
75,-89,31,2.49,37,18,37.43,Mississippi River,Cape Girardeau,MO/IL,3
76,-90,4,10.62,35,8,58.66,Mississippi River,Memphis,TN/AR,4
77,-102,55,7.19,38,3,42.79,Arkansas River,John Martin Reservoir,CO,6
78,-95,40,25.4,36,25,40.93,Verdigris River,Oologah,OK,2
79,-95,20,24.59,35,18,18.28,Canadian River,Eufaula,OK,2
80,-90,47,46.09,32,32,53.72,Yazoo River,Redwood,MS,4
81,-92,26,57.19,31,21,5.91,Red River,Alexandria,LA,4
82,-96,39,54.44,33,55,27.33,Red River,Lake Texoma,OK/TX,2
83,-91,33,5.94,38,40,55.13,Missouri River,Hermann,MO,3
84,-107,34,28.89,45,43,37.3,Big Horn River,Hardin,MT,6
85,-104,7,49.2,47,40,51.41,Yellowstone River,Sidney,MT,6
86,-97,38,22.46,43,11,8.63,James River,Olivet,SD,6
87,-102,0,0.58,41,17,8.4,North Platte River,Lake McConaughy,NE,6
88,-102,22,53.57,40,57,9.53,South Platte River,Brule,NE,6
89,-96,19,8.57,41,3,36.61,Platte River,Louisville,NE,6
90,-94,54,56.67,38,59,19.42,Kansas River,Bonner Springs,KS,6
91,-114,19,43.14,34,27,54.05,Colorado River,Lake Havasu,AZ/CA,2
92,-114,44,5.73,36,2,29.96,Colorado River,Lake Mead,NV/AZ,1
93,-111,28,39.17,36,56,50.79,Colorado River,"Lake Powelle, Page",AZ,2
94,-110,23,0.93,33,12,47.59,Gila River,San Carlos Reservoir,AZ,2
95,-111,54,38.73,41,59,55.96,Bear River,Preston,ID,1
96,-118,48,28.25,46,17,14.14,Snake River,Ice Harbor Dam,WA,1
97,-119,1,23.93,46,12,17.7,Columbia River,Pasco,WA,1
98,-119,1,8.09,47,56,27.21,Columbia River,Grand Coulee,WA,1
99,-158,0,57.6,21,23,18.6,Waikele Stream,Waipahu,HI,1
100,-157,51,39.6,21,18,50.4,Manoa Stream,Honolulu,HI,1
101,-70,12,25.04,44,4,30.35,Androscoggin River,Lewiston,ME,5
102,-87,42,23.47,47,24,2.98,Lake Superior,Keeweenaw Point,MI,3
103,-84,57,16.85,46,46,15.34,Lake Superior,Whitefish Point,MI,3
104,-85,30,31.59,45,44,24.58,Lake Michigan,Beaver Island,MI,3
105,-86,13,18.98,42,40,48.91,Lake Michigan,Saugatuck,MI,3
106,-83,26,40.1,45,3,9.95,Lake Huron,Alpena,MI,3
107,-82,47,8.04,42,33,49.74,Lake St. Clair,Mt. Clemens,MI,3
108,-82,55,49.02,41,31,3.17,Lake Erie,Port Clinton,OH,3
109,-78,51,44.85,43,18,37.52,Lake Ontario,Roosevelt Beach,NY,5
110,-76,18,16.6,44,1,14.98,Lake Ontario,Cape Vincent,NY,5
111,-92,16,38.88,44,27,54.85,Mississippi River,Lake City,MN/WI,3
112,-90,35,6.57,42,26,25.9,Mississippi River,Dubuque,IA/IL/WI,3
113,-97,0,5.38,28,30,20.85,San Antonio River,McFaddin,TX,2
114,-112,8,9.52,41,29,27.43,Bear Creek,Brigham City,UT,6
115,-114,32,25.52,32,43,8.26,Colorado River,Yuma,AZ/CA,2
116,-100,41,39.75,48,35,23.7,Souris River,Upham,ND,6
117,-113,57,43.85,48,18,0.13,Flathead River,Creston,MT,6
