STATNUMB,LONG_DEG,LONG_MIN,LONG_SEC,LAT_DEG,LAT_MIN,LAT_SEC,WATER BODY,CITY,STATE(S),FWS REGION
1,-68,38,15.87,44,56,26.7,Penobscot River,Old Town,ME,5
2,-72,37,7.06,41,52,30.78,Connecticut River,Windsor Locks,CT,5
3,-73,56,49.91,41,36,30.16,Hudson River,Poughkeepsie,NY,5
4,-74,42,17.7,40,9,42.8,Delaware River,Trenton,NJ/PA,5
5,-76,9,12.25,39,39,10.46,Susquehanna River,Conowingo Dam,MD,5
6,-77,13,29.2,38,58,47.7,Potomac River,Little Falls,MD/VA,5
7,-77,40,52.97,36,29,22.24,Roanoke River,Roanoke Rapids,NC,4
8,-78,33,37.92,34,38,9.7,Cape Fear River,Elizabethtown,NC,4
9,-80,6,24.58,33,21,32.62,Cooper River,"Lake Moultrie, Moncks Corner",SC,4
10,-81,3,48.27,32,4,25.5,Savannah River,Savannah,GA/SC,4
11,-81,40,16,29,35,33.53,St. John's River,Welaska,FL,4
12,-80,26,37.3,27,1,8.44,St. Lucie Canal,Indiantown,FL,4
13,-84,53,3.67,30,42,43.68,Apalachicola River,Jim Woodruff Dam,FL,4
14,-87,56,41.12,31,14,21.7,Tombigbee River,McIntosh,AL,4
15,-89,55,30.62,29,53,6.82,Mississippi River,Luling,LA,4
16,-98,0,28.57,26,3,34.41,Rio Grande,Mission,TX,2
17,-77,43,21.51,43,2,2.17,Genessee River,Scottsville,NY,5
18,-76,10,50.2,43,34,1.32,Lake Ontario,Port Ontario,NY,5
19,-80,8,36.91,42,6,54.61,Lake Erie,Erie,PA,5
20,-83,24,52.66,43,48,23.05,Lake Huron (Saginaw Bay),Bay Port,MI,3
21,-87,41,37.8,43,45,59.09,Lake Michigan,Sheboygan,WI,3
22,-90,44,39.21,46,41,57.3,Lake Superior,Bayfield,WI,3
23,-81,48,57.64,38,29,7.56,Kanawha River,Winfield,WV,5
24,-81,27,42.4,39,24,36.23,Ohio River,Marietta,OH/WV,3
25,-87,22,31.32,36,31,58.13,Cumberland River,Clarksville,TN,4
26,-90,23,40.64,40,4,33.27,Illinois River,Beardstown,IL,3
27,-91,1,29.78,42,43,37.62,Mississippi River,Guttenburg,IA/WI,3
28,-91,56,11.02,34,17,19.99,Arkansas River,Pine Bluff,AR,4
29,-96,15,1.1,36,8,50.78,Arkansas River,Keystone Reservoir,OK,2
30,-91,27,44.81,34,51,32.31,White River,Devalls Bluff,AR,4
31,-95,51,56.22,40,45,41.2,Missouri River,Nebraska City,NE/IA,6
32,-101,24,59.58,47,29,46.91,Missouri River,Garrison Dam,ND,6
33,-111,20,1.82,47,29,20.67,Missouri River,Great Falls,MT,6
34,-97,13,44.77,49,0,0.96,Red River of the North,Noyes,MN/ND,3
35,-109,15,45.1,40,26,49.06,Green River,Vernal,UT,6
36,-114,29,20.72,33,0,6.98,Colorado River,Imperial Reservoir,AZ/CA,2
37,-119,18,1.3,39,37,7.82,Truckee River,Fernley,NV,1
38,-111,53,10.51,40,21,48.18,Utah Lake,Provo,UT,6
39,-121,39,33.62,38,45,24.34,Sacramento River,Sacramento,CA,1
40,-120,51,22.96,37,3,54.35,San Joaqin River,Los Banos,CA,1
41,-114,51,28.45,42,51,42.38,Snake River,Hagerman,ID,1
42,-117,2,3.38,46,25,39.49,Snake River,Lewiston,ID/WA,1
43,-116,18,24.35,45,24,44.2,Salmon River,Riggins,ID,1
44,-119,59,19.35,46,21,11.65,Yakima River,Granger,WA,1
45,-122,36,7.08,45,22,8.64,Willamette River,Oregon City,OR,1
46,-121,48,25.69,45,42,25.01,Columbia River,Cascade Locks,OR/WA,1
47,-122,25,50.86,41,56,14.9,Klamath River,Hornbrook,CA,1
48,-123,10,13.89,42,25,33.68,Rogue River,Goldray Dam,OR,1
49,-147,43,12,64,50,50.64,Chena River,Fairbanks,AK,7
50,-151,2,56.4,60,28,53.4,Kenai River,Soldatna,AK,7
51,-69,37,38.87,44,41,51.17,Kennebec River,Hinckley,ME,5
52,-73,16,6.08,44,31,35.54,Lake Champlain,Burlington,VT,5
53,-71,19,9.34,42,39,24.78,Merrimac River,Lowell,MA,5
54,-74,33,21.02,40,32,16.01,Raritan River,Bound Brook,NJ,5
55,-77,21,20.84,37,23,13.04,James River,Richmond,VA,5
56,-79,22,7.04,33,50,23.04,Pee Dee River,Johnsonville,SC,4
