FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|STATE_ALPHA|STATE_NUMERIC|COUNTY_NAME|COUNTY_NUMERIC|PRIMARY_LAT_DMS|PRIM_LONG_DMS|PRIM_LAT_DEC|PRIM_LONG_DEC|SOURCE_LAT_DMS|SOURCE_LONG_DMS|SOURCE_LAT_DEC|SOURCE_LONG_DEC|ELEV_IN_M|ELEV_IN_FT|MAP_NAME|DATE_CREATED|DATE_EDITED
1392064|Aaneru|Island|MH|68|||094815N|1690723E|9.8041667|169.1230556|||||10|33|Unknown|01/01/2000|
1392065|Aapuran|Island|MH|68|Likiep|180|100043N|1690401E|10.0119444|169.0669444|||||0|0|Unknown|01/01/2000|
1392066|Acharan|Island|MH|68|||061353N|1715708E|6.2313889|171.9522222|||||6|20|Unknown|01/01/2000|
1392067|Acharan Passage|Channel|MH|68|||061409N|1715640E|6.2358333|171.9444444|||||6|20|Unknown|01/01/2000|
1392068|Achastakku Island|Island|MH|68|||102317N|1695813E|10.3880556|169.9702778|||||10|33|Unknown|01/01/2000|
1392069|Aerik Island|Island|MH|68|||112658N|1664733E|11.4494444|166.7925|||||11|36|Unknown|01/01/2000|
1392070|Agidyen Island|Island|MH|68|||060249N|1694058E|6.0469444|169.6827778|||||6|20|Unknown|01/01/2000|
1392071|Agony Island|Island|MH|68|Likiep|180|094925N|1691404E|9.8236111|169.2344444|||||0|0|Unknown|01/01/2000|
1392072|Agulue Island|Island|MH|68|Ailuk|030|101659N|1695149E|10.2830556|169.8636111|||||0|0|Unknown|01/01/2000|
1392073|Agumichi Island|Island|MH|68|||092928N|1701311E|9.4911111|170.2197222|||||9|30|Unknown|01/01/2000|
1392074|Ai Island|Island|MH|68|||055220N|1693119E|5.8722222|169.5219444|||||6|20|Unknown|01/01/2000|
1392075|Aichi|Island|MH|68|||100049N|1690244E|10.0136111|169.0455556|||||10|33|Unknown|01/01/2000|
1392076|Aijikan Island|Island|MH|68|||112211N|1670056E|11.3697222|167.0155556|||||11|36|Unknown|01/01/2000|
1392077|Municipality of Ailinginae|Civil|MH|68|Ailinginae|007|110939N|1662348E|11.1608333|166.3966667|||||0|0|Unknown|01/01/2000|
1392078|Ailinglapalap Anchorage|Harbor|MH|68|||071821N|1684728E|7.3058333|168.7911111|||||7|23|Unknown|01/01/2000|
1392079|Ailinglapalap Island|Island|MH|68|||071634N|1684734E|7.2761111|168.7927778|||||7|23|Unknown|01/01/2000|
1392080|Ailinglapalap Atoll|Island|MH|68|||071631N|1684704E|7.2752778|168.7844444|||||7|23|Unknown|01/01/2000|
1392081|Ailuk Atoll|Island|MH|68|Ailuk|030|102032N|1695445E|10.3422222|169.9125|||||0|0|Unknown|01/01/2000|
1392082|Ailuk Island|Island|MH|68|Ailuk|030|101240N|1695902E|10.2111111|169.9838889|||||0|0|Unknown|01/01/2000|
1392083|Aineman Island|Island|MH|68|||055747N|1694140E|5.9630556|169.6944444|||||6|20|Unknown|01/01/2000|
1392084|Airek|Island|MH|68|||071625N|1684938E|7.2736111|168.8272222|||||7|23|Unknown|01/01/2000|
1392085|Airik Island|Island|MH|68|||083004N|1711153E|8.5011111|171.1980556|||||9|30|Unknown|01/01/2000|
