FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|STATE_ALPHA|STATE_NUMERIC|COUNTY_NAME|COUNTY_NUMERIC|PRIMARY_LAT_DMS|PRIM_LONG_DMS|PRIM_LAT_DEC|PRIM_LONG_DEC|SOURCE_LAT_DMS|SOURCE_LONG_DMS|SOURCE_LAT_DEC|SOURCE_LONG_DEC|ELEV_IN_M|ELEV_IN_FT|MAP_NAME|DATE_CREATED|DATE_EDITED
32304|New Tanks|Reservoir|MA|25|Berkshire|003|424221N|0730151W|42.705867|-73.0307731|||||654|2146|North Adams|06/27/1984|12/31/2011
205110|Appalachian National Scenic Trail|Trail|PA|42|Perry|099|401920N|0770439W|40.3221113|-77.0775473|||||200|656|Wertzville|09/12/1979|01/03/2010
205183|Babbs Beach|Beach|CT|09|Hartford|003|420155N|0724516W|42.0320395|-72.7545385|||||69|226|Southwick|09/12/1979|
205670|Bradley Brook|Stream|CT|09|Hartford|003|415841N|0724801W|41.9781517|-72.8003741|420125N|0724845W|42.0236111|-72.8125|73|239|Tariffville|09/12/1979|
205707|Breakneck Pond|Lake|CT|09|Tolland|013|420109N|0720639W|42.0192457|-72.110709|||||207|679|Southbridge|09/12/1979|06/17/2011
205772|Browns Brook|Stream|CT|09|Tolland|013|420202N|0720915W|42.0339846|-72.1542437|420001N|0721118W|42.0002778|-72.1883333|209|686|Wales|09/12/1979|
206357|Cohasse Brook|Stream|MA|25|Worcester|027|420424N|0720129W|42.0734287|-72.0247971|420119N|0720346W|42.0219444|-72.0627778|129|423|Southbridge|09/12/1979|11/04/2010
206373|Colebrook River Lake|Reservoir|CT|09|Litchfield|005|420141N|0730253W|42.0280406|-73.0480179|||||214|702|Tolland Center|09/12/1979|12/31/2011
206425|Connecticut River|Stream|CT|09|New London|011|411620N|0721959W|41.2723203|-72.3331382|451352N|0711145W|45.2311571|-71.1959068|0|0|Old Lyme|09/12/1979|
206543|Crow Hill Brook|Stream|CT|09|Tolland|013|420102N|0721921W|42.0173179|-72.3225808|420204N|0722021W|42.0344444|-72.3391667|179|587|Monson|09/12/1979|
206698|Dismal Brook|Stream|CT|09|Hartford|003|415920N|0724917W|41.9889847|-72.8214861|420241N|0725018W|42.0448166|-72.838431|83|272|Tariffville|09/12/1979|
206787|East Branch Farmington River|Stream|CT|09|Litchfield|005|415200N|0725715W|41.8667635|-72.95427|420149N|0725605W|42.0303721|-72.9348243|110|361|Collinsville|09/12/1979|
206792|East Branch Salmon Brook|Stream|CT|09|Hartford|003|415634N|0724650W|41.9428746|-72.7806512|420306N|0725135W|42.0517608|-72.8598208|55|180|Tariffville|09/12/1979|
207169|Fourmile Brook|Stream|CT|09|Hartford|003|420220N|0723707W|42.0389843|-72.6187007|420024N|0723804W|42.0067627|-72.6345345|32|105|Springfield South|09/12/1979|
207179|Fox Brook|Stream|CT|09|Hartford|003|420130N|0725136W|42.0250948|-72.8600988|420240N|0725331W|42.0445386|-72.8920444|145|476|Southwick|09/12/1979|
207207|French River|Stream|CT|09|Windham|015|415633N|0715353W|41.9425977|-71.8981278|421225N|0715525W|42.2070377|-71.9236845|96|315|Putnam|09/12/1979|
207313|Ginger Creek|Stream|CT|09|Litchfield|005|420243N|0731401W|42.0453704|-73.2337242|420141N|0731205W|42.0280556|-73.2013889|297|974|South Sandisfield|09/12/1979|
207603|Halfway Brook|Stream|CT|09|Hartford|003|420308N|0725730W|42.0523159|-72.9584362|420213N|0725825W|42.0369444|-72.9736111|274|899|West Granville|09/12/1979|
207634|Hamilton Reservoir|Reservoir|MA|25|Hampden|013|420327N|0720919W|42.0576014|-72.1553258|||||208|682|Wales|09/12/1979|06/17/2011
207714|Hatchet Brook|Stream|MA|25|Worcester|027|420417N|0720337W|42.0714843|-72.0603532|420133N|0720517W|42.0258333|-72.0880556|174|571|Southbridge|09/12/1979|11/04/2010
207716|Hatchet Pond|Lake|CT|09|Windham|015|420130N|0720526W|42.0249791|-72.0904988|||||263|863|Southbridge|09/12/1979|06/17/2011
208000|Hubbard River|Stream|CT|09|Hartford|003|420150N|0725603W|42.0306499|-72.9342686|420452N|0725825W|42.0811111|-72.9736111|161|528|West Granville|09/12/1979|
208425|Lebanon Brook|Stream|MA|25|Worcester|027|420418N|0720049W|42.0717622|-72.0136858|415954N|0720505W|41.9984299|-72.0847979|127|417|Southbridge|09/12/1979|11/04/2010
208545|Long Branch Brook|Stream|CT|09|Windham|015|420044N|0715247W|42.0123194|-71.8797941|420113N|0715118W|42.020375|-71.8550714|122|400|Webster|09/12/1979|
208779|May Brook|Stream|CT|09|Tolland|013|420157N|0720956W|42.0325957|-72.1656328|420043N|0721132W|42.0119444|-72.1922222|232|761|Wales|09/12/1979|
209103|Mount Prospect|Summit|CT|09|Litchfield|005|420224N|0730332W|42.0400935|-73.0589957|||||382|1253|Tolland Center|09/12/1979|
209108|Mountain Brook|Stream|CT|09|Hartford|003|420018N|0724617W|42.0050957|-72.7714837|420155N|0724344W|42.0320396|-72.728982|75|246|Southwick|09/12/1979|
209125|Muddy Brook|Stream|CT|09|Hartford|003|415829N|0723926W|41.9748187|-72.6573132|420221N|0724024W|42.0392619|-72.6734247|40|131|Windsor Locks|09/12/1979|
209127|Muddy Pond|Lake|CT|09|Windham|015|420121N|0720153W|42.0225039|-72.0312762|||||200|656|Southbridge|09/12/1979|06/17/2011
209330|North Brook|Stream|CT|09|Litchfield|005|420050N|0730532W|42.0139829|-73.0923309|420307N|0730646W|42.0519444|-73.1127778|309|1014|Tolland Center|09/12/1979|
209367|North Norfolk Chapel|Church|CT|09|Litchfield|005|420241N|0731325W|42.0448149|-73.2237239|||||375|1230|South Sandisfield|09/12/1979|
209720|Perry Pond|Lake|CT|09|Windham|015|420124N|0715326W|42.0233332|-71.8906739|||||142|466|Webster|09/12/1979|06/17/2011
209735|Philo Brook|Stream|CT|09|Hartford|003|415948N|0723937W|41.9967629|-72.6603687|420437N|0724031W|42.0770387|-72.6753691|42|138|Windsor Locks|09/12/1979|
209960|Potash Brook|Stream|CT|09|Tolland|013|420102N|0721528W|42.0173178|-72.2578567|420212N|0721545W|42.0366667|-72.2625|214|702|Monson|09/12/1979|
210057|Quinebaug River|Stream|CT|09|New London|011|413323N|0720243W|41.5564871|-72.0453541|420550N|0720450W|42.0973171|-72.0806315|6|20|Norwich|09/12/1979|
210099|Raspberry Brook|Stream|CT|09|Hartford|003|420140N|0723614W|42.0278734|-72.6039779|420140N|0723413W|42.0277778|-72.5702778|9|30|Springfield South|09/12/1979|
210110|Rattlesnake Hill|Summit|CT|09|Tolland|013|420157N|0722426W|42.0325957|-72.4073054|||||323|1060|Hampden|09/12/1979|
210256|Rockadundee Brook|Stream|CT|09|Tolland|013|420302N|0722309W|42.050651|-72.385916|420049N|0722236W|42.0136111|-72.3766667|98|322|Hampden|09/12/1979|
210382|Sages Ravine|Valley|CT|09|Litchfield|005|420257N|0732554W|42.0492584|-73.4317859|420312N|0732722W|42.0533333|-73.4561111|261|856|Bash Bish Falls|09/12/1979|
210634|Sandy Brook|Stream|CT|09|Litchfield|005|415817N|0730212W|41.9714838|-73.0367734|420544N|0731050W|42.0956473|-73.1806653|169|554|Winsted|09/12/1979|
210667|Sawmill Brook|Stream|CT|09|Tolland|013|420142N|0721854W|42.0284289|-72.3150806|420322N|0721748W|42.0561111|-72.2966667|183|600|Monson|09/12/1979|
210685|Scantic River|Stream|CT|09|Hartford|003|415205N|0723658W|41.8681537|-72.6162011|420117N|0722053W|42.0214846|-72.348137|7|23|Manchester|09/12/1979|
210848|Shunway Brook|Stream|CT|09|Windham|015|415944N|0715540W|41.9956529|-71.9278505|420142N|0715456W|42.0284301|-71.9156281|98|322|Putnam|09/12/1979|
211168|Stevens Brook|Stream|MA|25|Hampden|013|420343N|0720936W|42.0620397|-72.1600773|420113N|0721258W|42.0202778|-72.2161111|208|682|Wales|09/12/1979|11/04/2010
211185|Still Brook|Stream|CT|09|Hartford|003|420204N|0724043W|42.0345397|-72.6787027|420318N|0724242W|42.055|-72.7116667|55|180|West Springfield|09/12/1979|
211459|Thrasher Brook|Stream|CT|09|Tolland|013|420027N|0722736W|42.0075962|-72.4600845|420221N|0722425W|42.0391667|-72.4069444|57|187|Hampden|09/12/1979|
211584|Tufts Branch|Stream|CT|09|Windham|015|420051N|0715640W|42.0142636|-71.9445176|420402N|0715636W|42.0672222|-71.9433333|104|341|Webster|09/12/1979|
211717|Valley Brook|Stream|CT|09|Hartford|003|420150N|0725557W|42.0306499|-72.932602|420637N|0725522W|42.1102778|-72.9227778|161|528|West Granville|09/12/1979|
211849|Watchaug Brook|Stream|CT|09|Tolland|013|420050N|0722750W|42.013985|-72.4639735|420412N|0722541W|42.07|-72.4280556|60|197|Hampden|09/12/1979|
211923|West Branch Farmington River|Stream|CT|09|Litchfield|005|415200N|0725715W|41.8667635|-72.95427|421450N|0730723W|42.2473106|-73.1231599|110|361|Collinsville|09/12/1979|
212395|Freshwater Brook|Stream|CT|09|Hartford|003|415952N|0723620W|41.997874|-72.6056446|420258N|0723107W|42.0495399|-72.5186976|12|39|Broad Brook|09/12/1979|
212670|Housatonic River|Stream|CT|09|Fairfield|001|411009N|0730630W|41.169264|-73.1084417|422601N|0731503W|42.43353|-73.25096|0|0|Milford|09/12/1979|06/16/2011
213351|WPKX-FM (Enfield)|Tower|MA|25|Hampden|013|420506N|0724215W|42.08491|-72.70404|||||178|584|West Springfield|09/01/1994|11/17/2010
567378|Gulf of Maine|Bay|ME|23|Washington|029|443420N|0671837W|44.5723018|-67.3102642|||||0|0|Cross Island|09/30/1980|
598523|Belcher Square|Populated Place|MA|25|Berkshire|003|421200N|0732048W|42.2000891|-73.346778|||||216|709|Great Barrington|02/24/1974|
598524|Day Mountain|Summit|MA|25|Berkshire|003|422743N|0730940W|42.4620294|-73.1612139|||||546|1791|Pittsfield East|02/24/1974|
598525|Eph Pond|Lake|MA|25|Berkshire|003|424312N|0731148W|42.7200804|-73.1967731|||||183|600|Williamstown|02/24/1974|
598526|Houghtonville|Populated Place|MA|25|Berkshire|003|424245N|0730627W|42.7125816|-73.1076038|||||307|1007|North Adams|02/24/1974|
598527|North Egremont|Populated Place|MA|25|Berkshire|003|421148N|0732616W|42.196756|-73.4378921|||||243|797|Egremont|02/24/1974|
598528|Tully Mountain|Summit|MA|25|Berkshire|003|422625N|0730938W|42.4403631|-73.1606585|||||631|2070|Pittsfield East|02/24/1974|
598529|White Oaks|Populated Place|MA|25|Berkshire|003|424351N|0731151W|42.7309136|-73.1976067|||||202|663|Williamstown|02/24/1974|
598530|The Pinacle|Summit|MA|25|Berkshire|003|421134N|0730600W|42.1928675|-73.1001051|||||477|1565|Otis|02/24/1974|
598531|Congamond Lakes|Lake|MA|25|Hampden|013|420130N|0724523W|42.0250953|-72.756483|||||69|226|Southwick|02/24/1974|10/19/2010
598532|Mundale|Populated Place|MA|25|Hampden|013|420706N|0724840W|42.1184261|-72.8112073|||||85|279|Southwick|02/24/1974|
598533|Northampton Reservoir|Reservoir|MA|25|Franklin|011|422622N|0724103W|42.4393255|-72.6842092|||||185|607|Williamsburg|02/24/1974|06/21/2011
