FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|STATE_ALPHA|STATE_NUMERIC|COUNTY_NAME|COUNTY_NUMERIC|PRIMARY_LAT_DMS|PRIM_LONG_DMS|PRIM_LAT_DEC|PRIM_LONG_DEC|SOURCE_LAT_DMS|SOURCE_LONG_DMS|SOURCE_LAT_DEC|SOURCE_LONG_DEC|ELEV_IN_M|ELEV_IN_FT|MAP_NAME|DATE_CREATED|DATE_EDITED
205110|Appalachian National Scenic Trail|Trail|PA|42|Perry|099|401920N|0770439W|40.3221113|-77.0775473|||||200|656|Wertzville|09/12/1979|01/03/2010
561007|MacDonald Brook|Stream|ME|23|Aroostook|003|460545N|0674623W|46.0958868|-67.7730724|460438N|0674715W|46.0772222|-67.7875|171|561|Houlton South|09/30/1980|
561008|Sheean Brook|Stream|ME|23|Aroostook|003|455655N|0674418W|45.9486679|-67.7383471|460045N|0675024W|46.012555|-67.840017|152|499|North Amity|09/30/1980|
561009|Greenwood Stream|Stream|ME|23|Somerset|025|445102N|0700046W|44.8506137|-70.0128399|445008N|0700338W|44.8355556|-70.0605556|127|417|New Vineyard|09/30/1980|
561010|Hilton Brook|Stream|ME|23|Somerset|025|445237N|0695848W|44.8770024|-69.9800615|444956N|0700220W|44.8322803|-70.0389513|99|325|Embden Pond|09/30/1980|
561011|Brann Brook|Stream|ME|23|Lincoln|015|441500N|0693144W|44.2500728|-69.5289325|441456N|0692936W|44.2489623|-69.493377|63|207|North Whitefield|09/30/1980|
561012|Peaks-Kenny State Park|Park|ME|23|Piscataquis|021|451503N|0691503W|45.2508857|-69.2508789|||||120|394|Sebec Lake West|09/30/1980|
561013|Hawkes Pond|Lake|ME|23|Androscoggin|001|440843N|0702323W|44.1453491|-70.3897792|||||75|246|Oxford|09/30/1980|
561014|Dan Hill Brook|Stream|ME|23|Washington|029|444258N|0673102W|44.7161881|-67.5172152|444507N|0673435W|44.7520207|-67.5763836|15|49|Whitneyville|09/30/1980|
561015|Deer Meadow Brook|Stream|ME|23|Lincoln|015|440051N|0693545W|44.0142454|-69.5958802|440834N|0693122W|44.1428539|-69.5228232|0|0|Damariscotta|09/30/1980|
561016|Goat Island|Island|ME|23|Cumberland|005|440557N|0703031W|44.0992379|-70.5086696|||||105|344|Casco|09/30/1980|
561017|Hall Brook|Stream|ME|23|Franklin|007|445102N|0700046W|44.8506137|-70.0128399|445052N|0700404W|44.8477778|-70.0677778|127|417|New Vineyard|09/30/1980|
561018|Hawkes Hill|Summit|ME|23|Androscoggin|001|440846N|0702350W|44.14621|-70.39724|||||117|384|Oxford|09/30/1980|01/06/2011
561019|Huntley Brook|Stream|ME|23|Washington|029|451348N|0673524W|45.2300721|-67.5899987|452229N|0674158W|45.3747924|-67.6994471|61|200|Princeton|09/30/1980|
