FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|STATE_ALPHA|STATE_NUMERIC|COUNTY_NAME|COUNTY_NUMERIC|PRIMARY_LAT_DMS|PRIM_LONG_DMS|PRIM_LAT_DEC|PRIM_LONG_DEC|SOURCE_LAT_DMS|SOURCE_LONG_DMS|SOURCE_LAT_DEC|SOURCE_LONG_DEC|ELEV_IN_M|ELEV_IN_FT|MAP_NAME|DATE_CREATED|DATE_EDITED
1391331|State of Airai|Civil|PW|70|Airai|004|072249N|1343228E|7.3802778|134.5411111|||||66|217|Oreor|01/01/2000|
1391332|Airai|Populated Place|PW|70|Airai|004|072127N|1343328E|7.3575|134.5577778|||||1|3|Oreor|01/01/2000|
1391333|Airai Elementary School|School|PW|70|Airai|004|072121N|1343219E|7.3558333|134.5386111|||||18|59|Oreor|01/01/2000|
1391334|Alyasu Reef|Bar|PW|70|||073535N|1342916E|7.5930556|134.4877778|||||0|0|Ngermetengel|01/01/2000|
1391336|Angaur Harbor|Harbor|PW|70|Angaur|010|065405N|1340734E|6.9013889|134.1261111|||||0|0|Palau 29 of 29|01/01/2000|
1391337|Arappu Point|Cape|PW|70|||071928N|1342947E|7.3244444|134.4963889|||||0|0|Oreor|01/01/2000|
1391338|Archongelungel|Populated Place|PW|70|||072009N|1342748E|7.3358333|134.4633333|||||42|138|Oreor|01/01/2000|
1391339|Arudowaishi Point|Cape|PW|70|Airai|004|072138N|1343533E|7.3605556|134.5925|||||1|3|Oreor|01/01/2000|11/18/2008
1391340|Arukaron Point|Cape|PW|70|||074330N|1343702E|7.725|134.6172222|||||12|39|Ngermetengel|01/01/2000|
1391341|Tochel Aukelau|Bay|PW|70|||080356N|1344111E|8.0655556|134.6863889|||||0|0|Ngcheangel|01/01/2000|
1391342|Babeldaob|Island|PW|70|||072959N|1343401E|7.4997222|134.5669444|||||41|135|Oreor|01/01/2000|
1391343|Bablomekang|Island|PW|70|||070830N|1341902E|7.1416667|134.3172222|||||1|3|Chelbacheb|01/01/2000|
1391344|Turangel Bad|Cape|PW|70|||072931N|1342928E|7.4919444|134.4911111|||||30|98|Oreor|01/01/2000|
1391345|Badebei|Island|PW|70|||072340N|1343518E|7.3944444|134.5883333|||||0|0|Oreor|01/01/2000|
1391346|Badechamelei|Summit|PW|70|||073028N|1342958E|7.5077778|134.4994444|||||0|0|Palau 08 of 29|01/01/2000|
1391347|Badrulchau|Populated Place|PW|70|||074224N|1343744E|7.7066667|134.6288889|||||63|207|Ngermetengel|01/01/2000|
