FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|STATE_ALPHA|STATE_NUMERIC|COUNTY_NAME|COUNTY_NUMERIC|PRIMARY_LAT_DMS|PRIM_LONG_DMS|PRIM_LAT_DEC|PRIM_LONG_DEC|SOURCE_LAT_DMS|SOURCE_LONG_DMS|SOURCE_LAT_DEC|SOURCE_LONG_DEC|ELEV_IN_M|ELEV_IN_FT|MAP_NAME|DATE_CREATED|DATE_EDITED
1389703|Guaifan Point|Cape|GU|66|Guam|010|131626N|1444501E|13.2738889|144.7502778|||||8|26|Inarajan|02/06/1981|
1389704|Guam|Island|GU|66|Guam|010|132640N|1444412E|13.4444444|144.7366667|||||119|390|Hagatna|02/06/1981|
1389705|Guam Air Terminal|Building|GU|66|Guam|010|132917N|1444755E|13.4880556|144.7986111|||||79|259|Hagatna|02/06/1981|
1389706|Guam Congress|Building|GU|66|Guam|010|132826N|1444459E|13.4738889|144.7497222|||||3|10|Hagatna|02/06/1981|
1389707|Guam Memorial Hospital|Hospital|GU|66|Guam|010|133016N|1444649E|13.5044444|144.7802778|||||39|128|Hagatna|02/06/1981|
1389708|Guam Adventist Academy|School|GU|66|Guam|010|132225N|1444442E|13.3736111|144.745|||||97|318|Talofofo|01/01/2000|
1389709|Guam Observatory|Locale|GU|66|Guam|010|133517N|1445157E|13.5880556|144.8658333|||||145|476|Ritidian Point|02/06/1981|
1389710|Guam Community College|School|GU|66|Guam|010|132621N|1444824E|13.4391667|144.8066667|||||82|269|Dededo|01/01/2000|
1389711|Guasaon|Area|GU|66|Guam|010|131558N|1444338E|13.2661111|144.7272222|||||30|98|Inarajan|02/06/1981|
1389712|Guatata|Summit|GU|66|Guam|010|131710N|1444415E|13.2861111|144.7375|||||36|118|Inarajan|02/06/1981|
1389713|Guenyon|Area|GU|66|Guam|010|131528N|1444342E|13.2577778|144.7283333|||||36|118|Inarajan|02/06/1981|
1389714|Gugae|Summit|GU|66|Guam|010|131615N|1444135E|13.2708333|144.6930556|||||156|512|Merizo|02/06/1981|
1389715|Gugagon|Area|GU|66|Guam|010|133349N|1445049E|13.5636111|144.8469444|||||122|400|Ritidian Point|02/06/1981|
1389716|Gugagon|Valley|GU|66|Guam|010|131648N|1444402E|13.28|144.7338889|131648N|1444402E|13.28|144.7338889|49|161|Inarajan|02/06/1981|
1389717|Guijen Point|Cape|GU|66|Guam|010|131459N|1444342E|13.2497222|144.7283333|||||0|0|Inarajan|02/06/1981|
1389718|Guijen Rock|Island|GU|66|Guam|010|131456N|1444344E|13.2488889|144.7288889|||||0|0|Inarajan|02/06/1981|
1389720|Gumoje|Ridge|GU|66|Guam|010|131529N|1444226E|13.2580556|144.7072222|||||74|243|Inarajan|02/06/1981|
1389721|Haputo Beach|Beach|GU|66|Guam|010|133434N|1444943E|13.5761111|144.8286111|||||6|20|Ritidian Point|02/06/1981|
1389722|Haputo Point|Summit|GU|66|Guam|010|133447N|1444947E|13.5797222|144.8297222|||||0|0|Ritidian Point|02/06/1981|
1389723|Harmon Sink|Basin|GU|66|Guam|010|132944N|1444741E|13.4955556|144.7947222|||||34|112|Hagatna|02/06/1981|
1389724|Harmon Village|Populated Place|GU|66|Guam|010|133201N|1444831E|13.5336111|144.8086111|||||84|276|Dededo|02/06/1981|
1389725|Hilaan Point|Summit|GU|66|Guam|010|133328N|1444859E|13.5577778|144.8163889|||||4|13|Ritidian Point|02/06/1981|
1389726|Hoover Park|Park|GU|66|Guam|010|132744N|1444122E|13.4622222|144.6894444|||||3|10|Apra Harbor|02/06/1981|
1389727|Huchunao|Area|GU|66|Guam|010|132716N|1444958E|13.4544444|144.8327778|||||23|75|Dededo|02/06/1981|
1389728|Iates|Cape|GU|66|Guam|010|132539N|1444806E|13.4275|144.8016667|||||38|125|Dededo|02/06/1981|
1389729|Iates Point|Cape|GU|66|Guam|010|132545N|1444812E|13.4291667|144.8033333|||||47|154|Dededo|02/06/1981|
1389730|Ibebo|Area|GU|66|Guam|010|132632N|1444053E|13.4422222|144.6813889|||||4|13|Apra Harbor|02/06/1981|
1389731|Ieygo River|Stream|GU|66|Guam|010|131749N|1444152E|13.2969444|144.6977778|131730N|1444142E|13.2916667|144.695|153|502|Merizo|02/06/1981|
1389732|Iguagualo|Area|GU|66|Guam|010|132746N|1444158E|13.4627778|144.6994444|||||76|249|Apra Harbor|02/06/1981|
1389733|Ija|Area|GU|66|Guam|010|131601N|1444251E|13.2669444|144.7141667|||||89|292|Inarajan|02/06/1981|
1389734|Ilipog|Area|GU|66|Guam|010|132956N|1444805E|13.4988889|144.8013889|||||37|121|Dededo|02/06/1981|
1389735|Imong|Area|GU|66|Guam|010|131902N|1444055E|13.3172222|144.6819444|||||309|1014|Agat|02/06/1981|
1389736|Imong River|Stream|GU|66|Guam|010|132019N|1444151E|13.3386111|144.6975|132019N|1444151E|13.3386111|144.6975|75|246|Agat|02/06/1981|
1389737|Inarajan|Populated Place|GU|66|Guam|010|131632N|1444436E|13.2755556|144.7433333|||||4|13|Inarajan|02/06/1981|04/21/2008
1389738|Inarajan Bay|Bay|GU|66|Guam|010|131628N|1444451E|13.2744444|144.7475|||||7|23|Inarajan|02/06/1981|
