FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|STATE_ALPHA|STATE_NUMERIC|COUNTY_NAME|COUNTY_NUMERIC|PRIMARY_LAT_DMS|PRIM_LONG_DMS|PRIM_LAT_DEC|PRIM_LONG_DEC|SOURCE_LAT_DMS|SOURCE_LONG_DMS|SOURCE_LAT_DEC|SOURCE_LONG_DEC|ELEV_IN_M|ELEV_IN_FT|MAP_NAME|DATE_CREATED|DATE_EDITED
1388627|Etena|Populated Place|AS|60|Swains Island|040|110319S|1710426W|-11.0552778|-171.0738889|||||||Unknown|02/06/1981|
1388628|Fala Ane Point|Cape|AS|60|Swains Island|040|110304S|1710515W|-11.0511111|-171.0875|||||||Unknown|02/06/1981|
1388629|Rose Island|Island|AS|60|Rose Island|030|143251S|1680829W|-14.5475|-168.1413889|||||||Unknown|02/06/1981|02/16/2010
1388630|Rose Island National Wildlife Refuge|Park|AS|60|Rose Island|030|143250S|1680832W|-14.5472222|-168.1422222|||||||Unknown|02/06/1981|
1388631|Sand Island|Island|AS|60|Rose Island|030|143215S|1680856W|-14.5375|-168.1488889|||||||Unknown|02/06/1981|
1388632|South Pacific Ocean|Sea|AS|60|Manu'a|020|141220S|1693953W|-14.2055556|-169.6647222|||||0|0|Manua Islands|02/06/1981|
1388633|Swains Island|Island|AS|60|Swains Island|040|110311S|1710457W|-11.0530556|-171.0825|||||||Unknown|02/06/1981|03/22/2011
1388634|Taulaga|Populated Place|AS|60|Swains Island|040|110319S|1710518W|-11.0552778|-171.0883333|||||||Unknown|02/06/1981|
1388635|Aasu|Populated Place|AS|60|Western|050|141751S|1704530W|-14.2975|-170.7583333|||||69|226|Tutuila Island West|02/06/1981|04/21/2008
1388636|Aasu Stream|Stream|AS|60|Western|050|141749S|1704531W|-14.2969444|-170.7586111|141749S|1704531W|-14.2969444|-170.7586111|26|85|Tutuila Island|02/06/1981|
1388637|Afao|Populated Place|AS|60|Western|050|142012S|1704757W|-14.3366667|-170.7991667|||||0|0|Tutuila Island West|02/06/1981|04/21/2008
1388638|Afimuao Ridge|Ridge|AS|60|Eastern|010|141544S|1703455W|-14.2622222|-170.5819444|||||63|207|Tutuila Island|02/06/1981|
1388639|Afimuao Stream|Stream|AS|60|Eastern|010|141524S|1703454W|-14.2566667|-170.5816667|141524S|1703454W|-14.2566667|-170.5816667|117|384|Tutuila Island|02/06/1981|
1388640|Āfono|Populated Place|AS|60|Eastern|010|141551S|1703903W|-14.2641667|-170.6508333|||||26|85|Tutuila Island East|02/06/1981|08/02/2009
1388641|Āfono Bay|Bay|AS|60|Eastern|010|141524S|1703856W|-14.2566667|-170.6488889|||||77|253|Tutuila Island|02/06/1981|08/02/2009
1388642|Afu Stream|Stream|AS|60|Eastern|010|141824S|1704116W|-14.3066667|-170.6877778|141824S|1704116W|-14.3066667|-170.6877778|0|0|Tutuila Island|02/06/1981|
1388643|Afuelo Stream|Stream|AS|60|Eastern|010|141815S|1704058W|-14.3041667|-170.6827778|141815S|1704058W|-14.3041667|-170.6827778|0|0|Tutuila Island|02/06/1981|
1388644|Afulei|Populated Place|AS|60|Eastern|010|141648S|1703726W|-14.28|-170.6238889|||||0|0|Tutuila Island|02/06/1981|
1388645|Afulei Stream|Stream|AS|60|Eastern|010|141647S|1703724W|-14.2797222|-170.6233333|141647S|1703724W|-14.2797222|-170.6233333|0|0|Tutuila Island|02/06/1981|
1388646|Afuli Cove|Bay|AS|60|Manu'a|020|141552S|1692950W|-14.2644444|-169.4972222|||||3|10|Manua Islands East|02/06/1981|
1388647|Afutele Stream|Stream|AS|60|Western|050|142008S|1704906W|-14.3355556|-170.8183333|142008S|1704906W|-14.3355556|-170.8183333|0|0|Tutuila Island|02/06/1981|
1388648|Aga Stream|Stream|AS|60|Eastern|010|141657S|1704219W|-14.2825|-170.7052778|141657S|1704219W|-14.2825|-170.7052778|119|390|Tutuila Island|02/06/1981|
1388649|Agalua Rock|Island|AS|60|Eastern|010|141720S|1704401W|-14.2888889|-170.7336111|||||238|781|Tutuila Island|02/06/1981|
1388650|Aganoa|Populated Place|AS|60|Eastern|010|141646S|1703445W|-14.2794444|-170.5791667|||||0|0|Tutuila Island|02/06/1981|
1388651|Agaoleatu Point|Cape|AS|60|Eastern|010|141700S|1703306W|-14.2833333|-170.5516667|||||3|10|Tutuila Island|02/06/1981|
1388652|Agapie Cove|Bay|AS|60|Eastern|010|141556S|1704219W|-14.2655556|-170.7052778|||||288|945|Tutuila Island|02/06/1981|
1388653|Agaputuputu Stream|Stream|AS|60|Manu'a|020|141006S|1693959W|-14.1683333|-169.6663889|141006S|1693959W|-14.1683333|-169.6663889|129|423|Manua Islands|02/06/1981|
1388654|Agasavili Point|Cape|AS|60|Eastern|010|141623S|1704258W|-14.2730556|-170.7161111|||||136|446|Tutuila Island|02/06/1981|
1388655|Agasii Stream|Stream|AS|60|Eastern|010|141733S|1704324W|-14.2925|-170.7233333|141733S|1704324W|-14.2925|-170.7233333|74|243|Tutuila Island|02/06/1981|
1388656|Agatoavalu Rock|Island|AS|60|Western|050|142014S|1704901W|-14.3372222|-170.8169444|||||0|0|Tutuila Island|02/06/1981|
1388657|Alaeli Ridge|Ridge|AS|60|Western|050|141821S|1704802W|-14.3058333|-170.8005556|||||368|1207|Tutuila Island|02/06/1981|
1388658|Alao|Populated Place|AS|60|Eastern|010|141603S|1703349W|-14.2675|-170.5636111|||||0|0|Tutuila Island East|02/06/1981|04/21/2008
1388659|Alatele Cove|Bay|AS|60|Western|050|142105S|1704317W|-14.3513889|-170.7213889|||||0|0|Tutuila Island|02/06/1981|
1388660|Alaufau|Populated Place|AS|60|Manu'a|020|141018S|1694044W|-14.1716667|-169.6788889|||||0|0|Manua Islands|02/06/1981|
1388661|Alava Mountain|Summit|AS|60|Eastern|010|141613S|1704116W|-14.2702778|-170.6877778|||||10|33|Tutuila Island|02/06/1981|08/02/2009
1388662|Ālega|Populated Place|AS|60|Eastern|010|141707S|1703815W|-14.2852778|-170.6375|||||0|0|Tutuila Island East|02/06/1981|08/02/2009
1388663|Alega Stream|Stream|AS|60|Eastern|010|141706S|1703812W|-14.285|-170.6366667|141706S|1703812W|-14.285|-170.6366667|0|0|Tutuila Island|02/06/1981|
1388664|Alei Ridge|Ridge|AS|60|Manu'a|020|140958S|1693649W|-14.1661111|-169.6136111|||||298|978|Manua Islands|02/06/1981|
1388665|Alei Stream|Stream|AS|60|Manu'a|020|141024S|1693630W|-14.1733333|-169.6083333|141024S|1693630W|-14.1733333|-169.6083333|0|0|Manua Islands|02/06/1981|
1388666|Alei Stream|Stream|AS|60|Manu'a|020|141027S|1694042W|-14.1741667|-169.6783333|141027S|1694042W|-14.1741667|-169.6783333|0|0|Manua Islands|02/06/1981|
1388667|Alili Ridge|Ridge|AS|60|Eastern|010|141610S|1703420W|-14.2694444|-170.5722222|||||63|207|Tutuila Island|02/06/1981|
1388668|Alili Spring|Spring|AS|60|Eastern|010|141605S|1703420W|-14.2680556|-170.5722222|||||100|328|Tutuila Island|02/06/1981|
1388669|Alofau|Populated Place|AS|60|Eastern|010|141645S|1703608W|-14.2791667|-170.6022222|||||87|285|Tutuila Island East|02/06/1981|04/21/2008
1388670|Alofisau Point|Cape|AS|60|Eastern|010|141708S|1703332W|-14.2855556|-170.5588889|||||4|13|Tutuila Island|02/06/1981|
1388671|Amaile Ridge|Ridge|AS|60|Eastern|010|141834S|1704147W|-14.3094444|-170.6963889|||||80|262|Tutuila Island|02/06/1981|
1388672|Amaile Stream|Stream|AS|60|Eastern|010|141856S|1704147W|-14.3155556|-170.6963889|141856S|1704147W|-14.3155556|-170.6963889|0|0|Tutuila Island|02/06/1981|
1388673|Amalau (historical)|Populated Place|AS|60|Eastern|010|141527S|1703930W|-14.2575|-170.6583333|||||162|531|Tutuila Island|02/06/1981|
1388674|Amaluia|Populated Place|AS|60|Western|050|142018S|1704728W|-14.3383333|-170.7911111|||||0|0|Tutuila Island West|02/06/1981|04/21/2008
1388675|`Āmanave|Populated Place|AS|60|Western|050|141948S|1704946W|-14.33|-170.8294444|||||20|66|Tutuila Island West|02/06/1981|08/02/2009
1388676|Amanave Bay|Bay|AS|60|Western|050|141957S|1704944W|-14.3325|-170.8288889|||||0|0|Tutuila Island|02/06/1981|
1388677|Amano Stream|Stream|AS|60|Eastern|010|141625S|1703935W|-14.2736111|-170.6597222|141625S|1703935W|-14.2736111|-170.6597222|280|919|Tutuila Island|02/06/1981|
1388678|Amate Stream|Stream|AS|60|Western|050|141807S|1704833W|-14.3019444|-170.8091667|141807S|1704833W|-14.3019444|-170.8091667|111|364|Tutuila Island|02/06/1981|
1388679|Amaua|Populated Place|AS|60|Eastern|010|141637S|1703718W|-14.2769444|-170.6216667|||||0|0|Tutuila Island East|02/06/1981|04/21/2008
1388680|Amouli (historical)|Populated Place|AS|60|Manu'a|020|141617S|1692939W|-14.2713889|-169.4941667|||||0|0|Manua Islands East|02/06/1981|
1388681|Āmouli|Populated Place|AS|60|Eastern|010|141641S|1703457W|-14.2780556|-170.5825|||||0|0|Tutuila Island East|02/06/1981|08/02/2009
1388682|Amouli Stream|Stream|AS|60|Manu'a|020|141041S|1694037W|-14.1780556|-169.6769444|141041S|1694037W|-14.1780556|-169.6769444|48|157|Manua Islands|02/06/1981|
1388683|Amuula Rock|Bar|AS|60|Eastern|010|141645S|1704003W|-14.2791667|-170.6675|||||0|0|Tutuila Island|02/06/1981|
1388684|Anapeapea Cove|Bay|AS|60|Eastern|010|141535S|1703846W|-14.2597222|-170.6461111|||||188|617|Tutuila Island|02/06/1981|
1388685|Anapeapea Point|Cape|AS|60|Eastern|010|141644S|1703720W|-14.2788889|-170.6222222|||||0|0|Tutuila Island|02/06/1981|
1388686|Anapeapea Point|Cape|AS|60|Eastern|010|141821S|1704102W|-14.3058333|-170.6838889|||||0|0|Tutuila Island|02/06/1981|
1388687|Anasosopo|Populated Place|AS|60|Eastern|010|141719S|1703946W|-14.2886111|-170.6627778|||||3|10|Tutuila Island|02/06/1981|
1388688|Anasosopo Point|Cape|AS|60|Eastern|010|141708S|1703952W|-14.2855556|-170.6644444|||||0|0|Tutuila Island|02/06/1981|
1388689|Anasosopo Stream|Stream|AS|60|Eastern|010|141717S|1703949W|-14.2880556|-170.6636111|141717S|1703949W|-14.2880556|-170.6636111|0|0|Tutuila Island|02/06/1981|
