FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|STATE_ALPHA|STATE_NUMERIC|COUNTY_NAME|COUNTY_NUMERIC|PRIMARY_LAT_DMS|PRIM_LONG_DMS|PRIM_LAT_DEC|PRIM_LONG_DEC|SOURCE_LAT_DMS|SOURCE_LONG_DMS|SOURCE_LAT_DEC|SOURCE_LONG_DEC|ELEV_IN_M|ELEV_IN_FT|MAP_NAME|DATE_CREATED|DATE_EDITED
528557|Anacostia Park|Park|DC|11|District of Columbia|001|385241N|0765809W|38.8781678|-76.9691416|||||5|16|Washington East|12/18/1979|
528558|Archbishop Carroll High School|School|DC|11|District of Columbia|001|385616N|0770017W|38.9377381|-77.0048354|||||70|230|Washington West|12/18/1979|09/15/2010
528559|Assumption Elementary School|School|DC|11|District of Columbia|001|385030N|0770016W|38.84156|-77.00455|||||48|157|Alexandria|12/18/1979|09/15/2010
528560|Saint Augustine School|School|DC|11|District of Columbia|001|385505N|0770156W|38.91794|-77.0323|||||32|105|Washington West|12/18/1979|09/15/2010
528561|Backus Middle School|School|DC|11|District of Columbia|001|385713N|0765949W|38.95365|-76.99691|||||36|118|Washington East|04/01/1993|09/15/2010
528562|Bald Eagle Hill|Summit|DC|11|District of Columbia|001|384918N|0770037W|38.8217799|-77.0102537|||||51|167|Alexandria|12/18/1979|
528563|Barnaby Terrace|Populated Place|DC|11|District of Columbia|001|385000N|0765921W|38.8334463|-76.989142|||||55|180|Anacostia|12/18/1979|
528564|Barnaby Woods|Populated Place|DC|11|District of Columbia|001|385829N|0770335W|38.9748326|-77.0596997|||||95|312|Washington West|12/18/1979|
528565|Barnard Hill Park|Park|DC|11|District of Columbia|001|385622N|0765814W|38.9395555|-76.9705308|||||51|167|Washington East|12/18/1979|
528566|Barney Circle|Locale|DC|11|District of Columbia|001|385241N|0765850W|38.8781678|-76.9805308|||||12|39|Washington East|12/18/1979|
528567|Benning Heights|Populated Place|DC|11|District of Columbia|001|385254N|0765610W|38.8817789|-76.9360852|||||56|184|Washington East|12/18/1979|
528568|Blair School|School|DC|11|District of Columbia|001|385403N|0765949W|38.9009451|-76.9969203|||||10|33|Washington East|12/18/1979|
528569|Boundary Channel|Channel|DC|11|District of Columbia|001|385249N|0770319W|38.8803898|-77.0552551|||||0|0|Washington West|12/18/1979|
528570|Brentwood Village Playground|Park|DC|11|District of Columbia|001|385513N|0765858W|38.9203892|-76.9827534|||||49|161|Washington East|12/18/1979|
528571|Brightwood Park|Populated Place|DC|11|District of Columbia|001|385725N|0770130W|38.9570551|-77.0249767|||||74|243|Washington West|12/18/1979|
528572|Broad Branch|Stream|DC|11|District of Columbia|001|385638N|0770256W|38.9439998|-77.0488661|385721N|0770406W|38.9558333|-77.0683333|32|105|Washington West|12/18/1979|
528573|Browne Junior High School|School|DC|11|District of Columbia|001|385409N|0765815W|38.90258|-76.97089|||||19|62|Washington East|12/18/1979|09/15/2010
528574|Bryan School|School|DC|11|District of Columbia|001|385313N|0765913W|38.8870564|-76.9869199|||||25|82|Washington East|12/18/1979|
528575|Bundy School|School|DC|11|District of Columbia|001|385431N|0770102W|38.9087227|-77.0171986|||||24|79|Washington West|12/18/1979|
528576|Burleith|Populated Place|DC|11|District of Columbia|001|385455N|0770421W|38.9153892|-77.0724777|||||56|184|Washington West|12/18/1979|
528577|Camp Simms (historical)|Military|DC|11|District of Columbia|001|385039N|0765852W|38.8441667|-76.9811111|||||43|141|Anacostia|01/01/2000|03/26/2009
528578|Colonial Village|Populated Place|DC|11|District of Columbia|001|385933N|0770224W|38.9926101|-77.0399771|||||89|292|Washington West|12/18/1979|
528579|Columbian School|School|DC|11|District of Columbia|001|385520N|0770237W|38.9223335|-77.0435882|||||54|177|Washington West|12/18/1979|
528580|Congress Heights|Populated Place|DC|11|District of Columbia|001|385034N|0770001W|38.8428906|-77.0002535|||||52|171|Alexandria|12/18/1979|
528581|Congress Heights School|School|DC|11|District of Columbia|001|385036N|0770003W|38.8432257|-77.0007631|||||52|171|Alexandria|12/18/1979|09/15/2010
528582|Congress Park|Populated Place|DC|11|District of Columbia|001|385028N|0765927W|38.8412239|-76.9908088|||||51|167|Anacostia|12/18/1979|
528583|Crummell School|School|DC|11|District of Columbia|001|385448N|0765910W|38.9134449|-76.9860867|||||24|79|Washington East|12/18/1979|
