FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|STATE_ALPHA|STATE_NUMERIC|COUNTY_NAME|COUNTY_NUMERIC|PRIMARY_LAT_DMS|PRIM_LONG_DMS|PRIM_LAT_DEC|PRIM_LONG_DEC|SOURCE_LAT_DMS|SOURCE_LONG_DMS|SOURCE_LAT_DEC|SOURCE_LONG_DEC|ELEV_IN_M|ELEV_IN_FT|MAP_NAME|DATE_CREATED|DATE_EDITED
205022|Howells Brook|Stream|CT|09|Hartford|003|420010N|0730031W|42.0028724|-73.0087167|420206N|0725910W|42.0350939|-72.9862154|261|856|Tolland Center|09/12/1979|
205023|Long Meadow Pond Brook|Stream|CT|09|New Haven|009|412910N|0730317W|41.4862077|-73.0548301|413144N|0730826W|41.5289852|-73.1406667|62|203|Naugatuck|09/12/1979|
205024|Marshall Lake Brook|Stream|CT|09|Litchfield|005|415113N|0730919W|41.8537069|-73.1553894|415309N|0730912W|41.8859287|-73.1534448|229|751|West Torrington|09/12/1979|
205025|Rockhouse Hill|Summit|CT|09|New Haven|009|412307N|0730819W|41.3853742|-73.1387219|||||192|630|Southbury|09/12/1979|
205026|Tatnic Brook|Stream|CT|09|Windham|015|414355N|0715716W|41.7320431|-71.9545181|414552N|0720021W|41.7645429|-72.005908|39|128|Plainfield|09/12/1979|
205027|Wachocastinook Creek|Stream|CT|09|Litchfield|005|415827N|0732436W|41.9742595|-73.4101204|420020N|0732807W|42.0056478|-73.468733|198|650|Sharon|09/12/1979|
205028|West Branch Reservoir|Reservoir|CT|09|Litchfield|005|415948N|0730133W|41.9967423|-73.0258973|||||195|640|Winsted|09/12/1979|09/19/2011
205029|Abbey Brook|Stream|CT|09|Tolland|013|415850N|0722829W|41.9806522|-72.4748071|415645N|0722729W|41.9458333|-72.4580556|58|190|Ellington|09/12/1979|
205030|Abbotts Pond|Lake|CT|09|New Haven|009|413237N|0730640W|41.5435738|-73.1111947|||||155|509|Waterbury|09/12/1979|06/17/2011
205031|Abbott Tech School|School|CT|09|Fairfield|001|412447N|0732714W|41.4131503|-73.4540111|||||124|407|Danbury|09/12/1979|
205032|Abe Stone Park|Park|CT|09|New Haven|009|412136N|0730442W|41.3600967|-73.0784415|||||52|171|Ansonia|09/12/1979|
205033|Abington|Populated Place|CT|09|Windham|015|415138N|0720024W|41.8606534|-72.0067411|||||169|554|Hampton|09/12/1979|
205034|Abington Brook|Stream|CT|09|Windham|015|415209N|0715945W|41.8692645|-71.9959076|415135N|0720029W|41.85982|-72.0081301|130|427|Danielson|09/12/1979|
205035|Aborn Brook|Stream|CT|09|Tolland|013|415556N|0722207W|41.9323191|-72.3686931|415528N|0722111W|41.9244444|-72.3530556|194|636|Stafford Springs|09/12/1979|
205036|Above All|Summit|CT|09|Litchfield|005|414337N|0732110W|41.7270398|-73.3528971|||||450|1476|New Preston|09/12/1979|
205037|Above All State Park|Park|CT|09|Litchfield|005|414336N|0732110W|41.7267621|-73.3528971|||||448|1470|New Preston|09/12/1979|
205038|Academy Hill|Summit|CT|09|Fairfield|001|411019N|0730737W|41.1720416|-73.1270536|||||7|23|Bridgeport|09/12/1979|
205039|Academy School|School|CT|09|Hartford|003|414225N|0723631W|41.707044|-72.6087017|||||16|52|Glastonbury|08/27/2002|
205040|Acme Pond|Lake|CT|09|Windham|015|415046N|0714903W|41.8462341|-71.8174055|||||174|571|East Killingly|09/12/1979|06/17/2011
205041|Adams Brook|Stream|CT|09|New London|011|413746N|0720329W|41.6295428|-72.0581317|413832N|0720501W|41.6422222|-72.0836111|41|135|Scotland|09/12/1979|
205042|Adams Brook|Stream|CT|09|Litchfield|005|415321N|0732126W|41.8892607|-73.3573412|415357N|0732037W|41.8991667|-73.3436111|160|525|South Canaan|09/12/1979|
205043|Adams Cemetery|Cemetery|CT|09|Fairfield|001|410244N|0733418W|41.0456526|-73.5717909|||||15|49|Stamford|09/12/1979|
205044|Adams Fall|Bar|CT|09|New Haven|009|411437N|0725438W|41.2437082|-72.910657|||||0|0|Woodmont|09/12/1979|06/10/2011
205045|Adder Reservoir|Reservoir|CT|09|Middlesex|007|413257N|0724356W|41.5491138|-72.73211|||||150|492|Middletown|09/12/1979|06/17/2011
205046|Addison|Populated Place|CT|09|Hartford|003|414306N|0723436W|41.7184328|-72.5767558|||||35|115|Glastonbury|09/12/1979|
205047|Addison Pond|Reservoir|CT|09|Hartford|003|414314N|0723435W|41.7205276|-72.5765014|||||33|108|Glastonbury|09/12/1979|06/17/2011
205048|Adds Brook|Stream|CT|09|Hartford|003|415531N|0723740W|41.9253751|-72.6278679|415527N|0723853W|41.9241667|-72.6480556|19|62|Windsor Locks|09/12/1979|
