FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|STATE_ALPHA|STATE_NUMERIC|COUNTY_NAME|COUNTY_NUMERIC|PRIMARY_LAT_DMS|PRIM_LONG_DMS|PRIM_LAT_DEC|PRIM_LONG_DEC|SOURCE_LAT_DMS|SOURCE_LONG_DMS|SOURCE_LAT_DEC|SOURCE_LONG_DEC|ELEV_IN_M|ELEV_IN_FT|MAP_NAME|DATE_CREATED|DATE_EDITED
1008807|Atlantic Ocean|Sea|NC|37|Dare|055|351332N|0753344W|35.2254551|-75.5620973|||||0|0|Cape Hatteras|06/17/1980|06/13/2008
1609455|Cerro Farallón|Summit|PR|72|Vieques|147|180852N|0651936W|18.1477407|-65.3265466|||||50|164|Isla De Vieques East|02/13/1981|
1609456|Canal Aguadilla|Canal|PR|72|Aguadilla|005|182825N|0670706W|18.4735546|-67.1182364|||||82|269|Moca|02/13/1981|
1609457|Canal de Aguuadilla|Canal|PR|72|Aguadilla|005|182837N|0670830W|18.4768875|-67.1415698|||||73|239|Aguadilla|02/13/1981|
1609458|Quebrada Del Ausubo|Valley|PR|72|San Juan|127|182250N|0660311W|18.3805043|-66.0529435|182206N|0660244W|18.3682825|-66.0454435|20|66|San Juan|02/13/1981|
1609459|Cerro Respaldo|Summit|PR|72|Salinas|123|180034N|0661949W|18.0094091|-66.3301686|||||126|413|Coamo|02/13/1981|
1609460|Hip¿dromo El Commandante|Unknown|PR|72|San Juan|127|182344N|0655959W|18.3955035|-65.99961|||||20|66|San Juan|02/13/1981|
1609461|Hippodromo El Commandante|Unknown|PR|72|Carolina|031|182342N|0655950W|18.3949479|-65.9971099|||||19|62|Carolina|02/13/1981|
1609462|Quebrada Angela|Valley|PR|72|Río Grande|119|182319N|0655154W|18.3885598|-65.8648864|182223N|0655146W|18.373005|-65.8626641|7|23|Rio Grande|02/13/1981|
1609463|Quebrada Guaracanal|Valley|PR|72|San Juan|127|182307N|0660331W|18.3852264|-66.0584992|182129N|0660226W|18.3580051|-66.0404434|13|43|San Juan|02/13/1981|
1609464|Quebrada Guanábana|Valley|PR|72|Juana Díaz|075|180149N|0663025W|18.0302414|-66.5068389|180218N|0662958W|18.0382966|-66.4993389|23|75|Ponce|02/13/1981|
1609465|Río Caguitas|Stream|PR|72|Caguas|025|181531N|0660048W|18.2585651|-66.0132205|181345N|0660729W|18.2291224|-66.124611|46|151|Aguas Buenas|02/13/1981|
1609466|Río de las Vacas|Stream|PR|72|Peñuelas|111|180723N|0664516W|18.1230157|-66.7543415|180641N|0664522W|18.1113494|-66.7560083|789|2589|Yauco|02/13/1981|
1609467|Río de Bayamón|Stream|PR|72|Aguas Buenas|007|181453N|0660822W|18.2480106|-66.1393336|181012N|0660726W|18.1699583|-66.1237774|248|814|Comerio|02/13/1981|
1609468|Rio|Stream|PR|72|Cidra|041|181012N|0660732W|18.1699583|-66.125444|180953N|0660636W|18.1646808|-66.1098883|424|1391|Comerio|02/13/1981|
1609469|Río Bayamón|Stream|PR|72|Bayamón|021|182223N|0660816W|18.3730052|-66.1376668|181820N|0660755W|18.3055081|-66.1318335|15|49|Naranjito|02/13/1981|
1609470|Río Casei|Stream|PR|72|Las Marías|083|181453N|0670426W|18.2480089|-67.0737904|181245N|0670014W|18.2124553|-67.0037894|100|328|Rosario|02/13/1981|
1609471|Río Casey|Stream|PR|72|Las Marías|083|181614N|0670705W|18.2705076|-67.1179575|181453N|0670428W|18.2480089|-67.0743459|6|20|Central La Plata|02/13/1981|
1609472|Río De Bayamón|Stream|PR|72|Toa Alta|135|182744N|0660823W|18.4621675|-66.139611|182223N|0660816W|18.3730052|-66.1376668|1|3|Bayamon|02/13/1981|
1609473|Río Guavate|Stream|PR|72|Cayey|035|180747N|0660732W|18.1296823|-66.1254439|180723N|0660417W|18.123016|-66.0712765|368|1207|Comerio|02/13/1981|
1609474|Río Guavate|Stream|PR|72|Cayey|035|180723N|0660413W|18.123016|-66.0701653|180658N|0660411W|18.1160719|-66.0696097|603|1978|Patillas|02/13/1981|
1609475|Río Las Vacas|Stream|PR|72|Adjuntas|001|180747N|0664459W|18.1296821|-66.7496192|180722N|0664515W|18.1227379|-66.7540637|746|2447|Monte Guilarte|02/13/1981|
1609476|Río Mayaguecilla|Stream|PR|72|Las Marías|083|181549N|0665810W|18.2635646|-66.9693444|181453N|0665842W|18.2480096|-66.9782334|88|289|San Sebastian|02/13/1981|
1609477|Río Mayaguecillo|Stream|PR|72|Las Marías|083|181548N|0665811W|18.2632868|-66.9696222|181241N|0665842W|18.2113444|-66.9782334|90|295|San Sebastian|01/01/2000|
1609478|Academia de la Inmaculada|School|PR|72|Mayagüez|097|181206N|0670820W|18.2016214|-67.1387907|||||19|62|Mayaguez|02/13/1981|
1609479|Academia Militar John F Kennedy|School|PR|72|Loíza|087|182243N|0655317W|18.3785602|-65.887942|||||20|66|Carolina|02/13/1981|
1609480|Academia San José|School|PR|72|Guaynabo|061|182415N|0660647W|18.4041149|-66.1129441|||||36|118|San Juan|02/13/1981|
1609481|Aceitunas|Populated Place|PR|72|Moca|099|182636N|0670354W|18.4432783|-67.0649026|||||176|577|Moca|02/13/1981|04/21/2008
1609482|Acevedo|Populated Place|PR|72|Las Marías|083|181543N|0665901W|18.2618979|-66.9835113|||||251|823|San Sebastian|02/13/1981|
1609483|Adjuntas|Populated Place|PR|72|Adjuntas|001|180946N|0664320W|18.1627363|-66.7221187|||||502|1647|Adjuntas|02/13/1981|04/21/2008
1609484|Aguacate|Populated Place|PR|72|Aguadilla|005|183008N|0670621W|18.5021646|-67.1057362|||||62|203|Isabela|02/13/1981|
1609485|Aguada|Populated Place|PR|72|Aguada|003|182246N|0671118W|18.3793913|-67.1882365|||||18|59|Aguadilla|02/13/1981|04/21/2008
1609486|Aguadilla|Populated Place|PR|72|Aguadilla|005|182539N|0670915W|18.4274454|-67.1540698|||||7|23|Aguadilla|02/13/1981|04/21/2008
1609487|Aguas Buenas|Populated Place|PR|72|Aguas Buenas|007|181525N|0660611W|18.2568989|-66.1029442|||||258|846|Aguas Buenas|02/13/1981|04/21/2008
1609488|Aguas Claras|Populated Place|PR|72|Ceiba|037|181510N|0653913W|18.252734|-65.6534952|||||31|102|Fajardo|02/13/1981|04/21/2008
1609489|Aguas Largas|Valley|PR|72|Aibonito|009|180928N|0661837W|18.1577365|-66.3101691|180859N|0662010W|18.1496814|-66.3360028|582|1909|Barranquitas|02/13/1981|
1609490|Aguas Saladas Blancas|Populated Place|PR|72|Juana Díaz|075|180152N|0662947W|18.0310747|-66.4962833|||||51|167|Rio Descalabrado|02/13/1981|
1609491|Aguilita|Populated Place|PR|72|Juana Díaz|075|180124N|0663205W|18.0232976|-66.5346166|||||26|85|Ponce|02/13/1981|04/21/2008
1609492|Aibonito|Populated Place|PR|72|Aibonito|009|180824N|0661558W|18.1399594|-66.2660016|||||604|1982|Barranquitas|02/13/1981|04/21/2008
1609493|Albergue de Niños|Building|PR|72|Ponce|113|180038N|0663812W|18.0105212|-66.6365619|||||13|43|Penuelas|02/13/1981|
1609494|Alcantavilla|Populated Place|PR|72|Camuy|027|182838N|0665112W|18.4771667|-66.8532328|||||61|200|Camuy|02/13/1981|
1609495|Alcarraza|Island|PR|72|Culebra|049|182140N|0652209W|18.3610655|-65.3690484|||||21|69|Culebra OE W|02/13/1981|
1609496|Aldea Cintrón|Populated Place|PR|72|Fajardo|053|181751N|0653841W|18.2974549|-65.644606|||||11|36|Fajardo|02/13/1981|
1609497|Alegría|Populated Place|PR|72|Bayamón|021|182229N|0661151W|18.3746716|-66.1973896|||||45|148|Bayamon|02/13/1981|
1609498|Algarrobo|Populated Place|PR|72|Guayama|057|175850N|0660504W|17.9805219|-66.0843316|||||28|92|Guayama|02/13/1981|
1609499|Alianza|Populated Place|PR|72|Camuy|027|182706N|0665113W|18.4516123|-66.85351|||||112|367|Camuy|02/13/1981|01/29/2011
1609500|Aljibe las Curias|Reservoir|PR|72|San Juan|127|182035N|0660303W|18.3430058|-66.0507213|||||87|285|Aguas Buenas|02/13/1981|
1609501|Allende|Populated Place|PR|72|Arecibo|013|182407N|0663612W|18.4018919|-66.6032286|||||150|492|Barceloneta|02/13/1981|
1609502|Almácigo Bajo|Populated Place|PR|72|Yauco|153|180317N|0665159W|18.0546853|-66.8662874|||||83|272|Yauco|02/13/1981|
1609503|Altagracia|Populated Place|PR|72|Manatí|091|182617N|0662839W|18.4380023|-66.4773934|||||43|141|Manati|02/13/1981|
1609504|Altamesa|Populated Place|PR|72|San Juan|127|182250N|0660538W|18.3805048|-66.0937773|||||44|144|San Juan|02/13/1981|
1609505|Altamira|Populated Place|PR|72|San Juan|127|182352N|0660615W|18.3977264|-66.1040551|||||23|75|San Juan|02/13/1981|
1609506|Altavista|Populated Place|PR|72|Ponce|113|180044N|0663511W|18.0121876|-66.5862836|||||13|43|Ponce|02/13/1981|
1609507|Alto de la Bandera|Summit|PR|72|Yauco|153|180746N|0665326W|18.1294038|-66.8904546|||||760|2493|Maricao|02/13/1981|
1609508|Alto del Descanso|Summit|PR|72|Maricao|093|180927N|0665956W|18.1574577|-66.9987893|||||749|2457|Maricao|02/13/1981|
1609509|Alto Las Ovejas|Summit|PR|72|Dorado|051|182848N|0661641W|18.479945|-66.2779461|||||0|0|Vega Alta|02/13/1981|
1609510|Altos de la Mesa|Range|PR|72|Caguas|025|181603N|0660349W|18.2674536|-66.0634992|||||325|1066|Aguas Buenas|02/13/1981|
1609511|Altos de San Luis|Range|PR|72|Caguas|025|181608N|0660129W|18.2688424|-66.0246097|||||193|633|Aguas Buenas|02/13/1981|
1609512|Amelia|Populated Place|PR|72|Guaynabo|061|182606N|0660701W|18.4349465|-66.1168329|||||0|0|San Juan|02/13/1981|
1609513|American Military Academy|School|PR|72|Guaynabo|061|182253N|0660633W|18.3813381|-66.1090552|||||71|233|San Juan|02/13/1981|
1609514|Amuelas|Populated Place|PR|72|Juana Díaz|075|180156N|0663020W|18.0321858|-66.50545|||||28|92|Ponce|02/13/1981|
1609515|Añasco|Populated Place|PR|72|Añasco|011|181658N|0670823W|18.2827291|-67.1396245|||||9|30|Rincon|02/13/1981|05/12/2008
1609516|Anclaje Isabela|Bay|PR|72|Mayagüez|097|180438N|0675619W|18.0771783|-67.9385198|||||0|0|Isla de Mona|02/13/1981|
1609517|Anclaje Sardinera|Bay|PR|72|Mayagüez|097|180523N|0675629W|18.0896778|-67.9412977|||||5|16|Isla de Mona|02/13/1981|
1609518|Ángeles|Populated Place|PR|72|Utuado|141|181706N|0664758W|18.2849529|-66.7993421|||||420|1378|Bayaney|02/13/1981|
1609519|Antilles Military Academy|School|PR|72|Trujillo Alto|139|182152N|0660106W|18.3643937|-66.018221|||||81|266|Aguas Buenas|02/13/1981|
1609520|Antillian College|School|PR|72|Mayagüez|097|181221N|0670646W|18.2057883|-67.1126797|||||98|322|Rosario|02/13/1981|
1609521|Antón Ruiz|Populated Place|PR|72|Humacao|069|181107N|0654831W|18.1852367|-65.8084959|||||30|98|Humacao|02/13/1981|04/21/2008
1609522|Aquilino|Populated Place|PR|72|Añasco|011|181521N|0670708W|18.2557861|-67.1187908|||||51|167|Central La Plata|02/13/1981|
1609523|Área de Recreo El Yunque|Park|PR|72|Río Grande|119|181809N|0654709W|18.3024534|-65.7857184|||||683|2241|El Yunque|02/13/1981|
1609524|Parque Nacional Isla de Cabras|Park|PR|72|Toa Baja|137|182809N|0660812W|18.4691115|-66.1365554|||||0|0|Bayamon|02/13/1981|09/19/2006
1609525|Arecibo|Populated Place|PR|72|Arecibo|013|182821N|0664257W|18.472445|-66.7157306|||||7|23|Arecibo|02/13/1981|04/21/2008
1609526|Arenal|Populated Place|PR|72|Salinas|123|175834N|0661856W|17.9760773|-66.3154462|||||3|10|Salinas|02/13/1981|
1609527|Arenales|Populated Place|PR|72|Aguadilla|005|182842N|0670705W|18.4782766|-67.1179586|||||76|249|Moca|02/13/1981|
1609528|Arenas|Populated Place|PR|72|Guánica|055|180123N|0665430W|18.0230198|-66.9082319|||||46|151|Sabana Grande|02/13/1981|
1609529|Arenas|Populated Place|PR|72|Loíza|087|182654N|0655351W|18.448279|-65.8973869|||||0|0|Carolina|02/13/1981|
1609530|Arrecife Algarrobo|Bar|PR|72|Mayagüez|097|181328N|0671038W|18.224398|-67.1771245|||||0|0|Mayaguez|02/13/1981|
1609531|Arrecife Algarrobo|Bar|PR|72|Guayama|057|175702N|0660519W|17.9505231|-66.0884981|||||0|0|Guayama|02/13/1981|
1609532|Arrecife Baúl|Bar|PR|72|Guánica|055|175535N|0665701W|17.926357|-66.950176|||||0|0|Guanica|02/13/1981|
1609533|Las Hojitas|Bar|PR|72|Ponce|113|175758N|0663814W|17.9660787|-66.6371175|||||0|0|Punta Cucharas|02/13/1981|
1609534|Arrecife Coral|Bar|PR|72|Lajas|079|175629N|0670339W|17.9413554|-67.0607331|||||0|0|Parguera|02/13/1981|
